id,created_at,text
1111674299990134785,2019-03-29 16:59:41,Here's your look at the new international posters for Marvel Studios' #AvengersEndgame. https://t.co/quBwekSLTX
1111659280359251969,2019-03-29 16:00:00,“This is the fight of our lives.” Marvel Studios’ #AvengersEndgame is in theaters April 26. https://t.co/TbcqGcvI7u
1110632517709819904,2019-03-26 20:00:01,One month until Marvel Studios' #AvengersEndgame. https://t.co/ZilnSSl3gd
1110617417762463744,2019-03-26 19:00:01,"“We’re in the endgame now.” Watch this brand new featurette from Marvel Studios’ #AvengersEndgame, in theaters in o… https://t.co/6UVeCJxoDp"
1110587277506273280,2019-03-26 17:00:15,1 Month. #AvengersEndgame https://t.co/A2DOayIqjk
1110587273777541120,2019-03-26 17:00:14,1 Month. #AvengersEndgame https://t.co/lP2PMwv6f0
1110587270078189568,2019-03-26 17:00:13,1 Month. #AvengersEndgame https://t.co/jzESNoWBkE
1110587266462670848,2019-03-26 17:00:12,1 Month. #AvengersEndgame https://t.co/xEngqsXs2K
1110587261681172481,2019-03-26 17:00:11,1 Month. #AvengersEndgame https://t.co/nfKvk8QCol
1110587257566564353,2019-03-26 17:00:10,1 Month. #AvengersEndgame https://t.co/14imLwhM4O
1110587253133209600,2019-03-26 17:00:09,1 Month. #AvengersEndgame https://t.co/FOT1VSvx7l
1110587248490078208,2019-03-26 17:00:08,1 Month. #AvengersEndgame https://t.co/fe0TW79dYJ
1110572236606365697,2019-03-26 16:00:29,1 Month. #AvengersEndgame https://t.co/bv27sShJ2t
1108760187500781568,2019-03-21 16:00:03,"Today we have a chance to take it all back. Whatever it takes. 

Marvel Studios’ #AvengersEndgame is in theaters Ap… https://t.co/ksUuAVCxDM"
1107280411393224704,2019-03-17 13:59:57,Thank you to the greatest fans in the universe for making Marvel Studios' #CaptainMarvel the #1 movie in the world… https://t.co/QNhmD9qpTr
1107069787807444992,2019-03-17 00:03:00,See the new @EmpireMagazine covers for Marvel Studios’ #AvengersEndgame. Read more: https://t.co/akbxmfBv4A https://t.co/kDHJ5mNelY
1106963344307748864,2019-03-16 17:00:02,Here’s your look at the brand new @EmpireMagazine subscriber cover for Marvel Studios’ #AvengersEndgame. Read more:… https://t.co/ktvoLA2dDw
1106279617587900416,2019-03-14 19:43:09,RT @MarvelStudios: She should have been up there all this time. Check out the official Marvel Studios' #AvengersEndgame poster. @DanaiGurir…
1106169116467945472,2019-03-14 12:24:03,Here's your first look at the new poster for Marvel Studios’ #AvengersEndgame. See it in theaters April 26. https://t.co/pNXSy0x8lI
1106164791813554176,2019-03-14 12:06:52,"Whatever it takes. Watch the brand new trailer for Marvel Studios’ #AvengersEndgame, in theaters April 26. https://t.co/0sOetnYzPu"
1100425256580333569,2019-02-26 16:00:00,Two months until Marvel Studios' #AvengersEndgame. See the film in theaters April 26. https://t.co/ElB61y7Iiu
1093260457895477254,2019-02-06 21:29:39,"Congratulations to Marvel Studios' ""Avengers: #InfinityWar"" on winning four @VFXSociety Awards, including Outstandi… https://t.co/JKf5qQdU7B"
1092203770493120512,2019-02-03 23:30:45,"""Some people move on. But not us."" Watch the brand new Marvel Studios' #AvengersEndgame spot that aired during the… https://t.co/fEYz67j8oT"
1087714688685797384,2019-01-22 14:12:45,"Congratulations to Marvel Studios' ""Avengers: #InfinityWar"" on its Academy Awards nomination for Best Visual Effect… https://t.co/4VJnXa0sQ5"
1085250268403507201,2019-01-15 19:00:01,100 days. Marvel Studios' #AvengersEndgame is in theaters April 26. https://t.co/U6QUgtZILy
1083149874370101248,2019-01-09 23:53:48,"Congratulations to Marvel Studios' ""Avengers: #InfinityWar"" on their @BAFTA Awards nomination for Special Visual Ef… https://t.co/JvdiNaM4En"
1082480797003776000,2019-01-08 03:35:08,Hope begins with a hero. Check out this special look at Marvel Studios’ @CaptainMarvel! In theaters March 8. Get ti… https://t.co/T8tp6vejau
1072886243371950080,2018-12-12 16:09:48,Congratulations to Marvel Studios’ “Avengers: #InfinityWar” which has been nominated for Outstanding Action Perform… https://t.co/HHzyZ2hvcW
1072179011978178560,2018-12-10 17:19:31,"Congratulations to Marvel Studios’ ""Avengers: #InfinityWar"" which has been nominated for two #CriticsChoice Awards,… https://t.co/v9QOYeFzsP"
1071470056780062721,2018-12-08 18:22:23,"To the greatest fans in the world, thank you for being there from the beginning til the endgame and making Marvel S… https://t.co/eIH3q2pC8U"
1071041545925742592,2018-12-07 13:59:38,"Here's your first look at the poster for Marvel Studios' #AvengersEndgame, in theaters April 26, 2019! https://t.co/kPSJKcnriq"
1071026846555357186,2018-12-07 13:01:13,Part of the journey is the end. https://t.co/9RvRQUxI3o
1069787563454386176,2018-12-04 02:56:45,"Everything begins with a hero. Watch the brand new trailer for Marvel Studios’ @CaptainMarvel, in theaters March 8,… https://t.co/5OMkdrawIc"
1065020686677225472,2018-11-20 23:14:53,Make these Thanos Infinity Cones in a...SNAP! Get the recipe: https://t.co/QW6fVhWjKR
1065001841249918980,2018-11-20 22:00:00,"Explore the Mad Titan's dark youth in ""Marvel's Avengers: #InfinityWar: Thanos: Titan Consumed"" companion novel by… https://t.co/D0ZIMOwZx9"
1062389639745433600,2018-11-13 17:00:03,Marvel and The Walt Disney Company salute the life and career of Stan Lee and offer our undying gratitude for his u… https://t.co/xibcMdKy97
1061853599456739328,2018-11-12 05:30:01,"“We fight for ALL.” Thank you to all of our fans for making Marvel Studios’ ""Avengers: #InfinityWar"" the… https://t.co/tYX6wMQ6M0"
1061845942603866112,2018-11-12 04:59:35,“She’s not alone.” Congratulations to #ScarlettJohansson for winning the @PeoplesChoice Award for “The Female Star… https://t.co/KMOvDe24xj
1060955065501040640,2018-11-09 17:59:33,".@Movies_Anywhere is celebrating their FIRST anniversary with favorite movie firsts! Marvel Studios’ ""Avengers:… https://t.co/dwDCdFCIWd"
1055964717997539328,2018-10-26 23:29:42,Rule Halloween with a DIY Infinity Gauntlet trick-or-treat bag! Learn how to make it here: https://t.co/ZhqztOlUxZ #MarvelHalloween
1052273004124823553,2018-10-16 19:00:09,The mightiest Avenger is back... #AntManAndTheWasp https://t.co/y3Yentgw22
1050094865638416385,2018-10-10 18:45:00,"Where has Ant-Man been since meeting the Avengers? Catch up now, then watch Marvel Studios’ #AntManAndTheWasp insta… https://t.co/5KdCZBMXJ8"
1045387602881327106,2018-09-27 19:00:01,The BIGGEST Avenger is back! Pre-order Marvel Studios’ #AntManAndTheWasp today: https://t.co/MFeDqzzU2n https://t.co/EgmcK8lwjm
1042035621873770496,2018-09-18 13:00:26,"Here's your first look at the teaser poster for Marvel Studios’ @CaptainMarvel, in theaters March 8, 2019.… https://t.co/W6fbKOHkr2"
1042032198822621187,2018-09-18 12:46:50,"Higher. Further. Faster. Watch the trailer for Marvel Studios’ @CaptainMarvel, in theaters March 8, 2019!… https://t.co/J1pInWDEZm"
1032658727566958592,2018-08-23 16:00:01,"Where there’s a will, there’s a way. #InfinityWar https://t.co/SbkPWsRCQ1"
1031662161570025472,2018-08-20 22:00:01,"Seven real-life female Super Heroes were invited to “Suit Up” for the red carpet premiere of Marvel Studios' ""Aveng… https://t.co/QofT8PWzfV"
1031571560207773696,2018-08-20 16:00:00,Wakanda Forever. #InfinityWar https://t.co/8sbzkvzLy9
1031511254714732545,2018-08-20 12:00:22,"When the universe calls, team up, find your inner hero and '""Be Marvel, Be More""!  Bring home Marvel Studios' ""Aven… https://t.co/VoWdAwew13"
1030507046863396864,2018-08-17 17:30:00,Watch Marvel Studios’ “Avengers: #InfinityWar” like you've never seen it before. Buy it now on 4K Ultra HD:… https://t.co/5GNzqWtFEA
1030484399694000130,2018-08-17 16:00:01,I am Groot. #InfinityWar https://t.co/GVcnPrR1sC
1030197514937528321,2018-08-16 21:00:02,👨 + ❄️ = ? Play the Emoji Game with Sebastian Stan! #InfinityWar https://t.co/16UTNXOAZa
1030167315223126017,2018-08-16 19:00:02,Witness an eye-opening experience! #Thor teams up with Rocket and Groot to stop Thanos. #InfinityWar https://t.co/UHbk20jWLh
1029759627200802816,2018-08-15 16:00:01,No trespassing allowed! #IronMan and #DoctorStrange are ready for a fight. #InfinityWar https://t.co/Wj8YF0HLhT
1029351939333476354,2018-08-14 13:00:01,"All your favorite Super Heroes unite for one epic war. Be among the first to own Marvel Studios’ ""Avengers:… https://t.co/L6Pn6xu4qE"
1029049951970643969,2018-08-13 17:00:02,"Tomorrow, unite with all of your friends and family for an epic event! Bring home Marvel Studios’ “Avengers:… https://t.co/gKR43gMJJj"
1028747958806822917,2018-08-12 21:00:01,Time is running out! Get your limited edition copy of Marvel Studios’ “Avengers: #InfinityWar” with a 40-page filmm… https://t.co/KtGp3uoo1F
1028672465944358912,2018-08-12 16:00:02,"The final fight approaches. Gear up and watch every action-packed moment from Marvel Studios' ""Avengers:… https://t.co/wTJtNjbmfc"
1028385491052322816,2018-08-11 20:59:42,"For a limited time, bring home all the action with the Marvel Studios’ “Avengers: #InfinityWar” SteelBook. Get it n… https://t.co/jL55TSGkUL"
1028325076947673088,2018-08-11 16:59:38,"Are you the ultimate Super Hero fan? Test your knowledge now with the all-new Marvel Studios' ""Avengers:… https://t.co/OijZ48ojhY"
1028310070352924673,2018-08-11 16:00:00,"No more tricks. Bring home all your favorite Super Heroes in Marvel Studios' ""Avengers: #InfinityWar"" on Blu-ray an… https://t.co/whVuMkLE82"
1027932596683120640,2018-08-10 15:00:03,"10 years in the making. Watch Marvel Studios’ ""Avengers: #InfinityWar"" instantly today: https://t.co/AK7NBl0pz7 https://t.co/rFbks6W0HW"
1027585305946279936,2018-08-09 16:00:03,"Armed with ambition, as always. #InfinityWar https://t.co/gBSPj71uvA"
1027222907884253184,2018-08-08 16:00:00,This is a man...like a pirate had a baby with an angel. #InfinityWar https://t.co/h1ylClTpC6
1026913369201115139,2018-08-07 19:30:01,"Fans united for the Marvel Studios' ""Avengers: #InfinityWar"" #GroupHug event at #MarvelSDCC and received a surprise… https://t.co/qPdxJ4rDHg"
1026874984113860609,2018-08-07 16:57:29,Watch Marvel Studios' Avengers: #InfinityWar INSTANTLY today! ❤️ this tweet to receive a reminder when the Blu-ray… https://t.co/9xM3TwHTro
1026860528260591617,2018-08-07 16:00:02,"In ONE WEEK, bring home Marvel Studios’ ""Avengers: #InfinityWar"" on Blu-ray and 4K Ultra HD: https://t.co/AK7NBl0pz7 https://t.co/hbd3LGIFzu"
1026498130198577152,2018-08-06 16:00:00,Wakanda Forever! #InfinityWar https://t.co/ODRiBWCJze
1026135713534959616,2018-08-05 15:59:53,"Pre-order Marvel Studios’ “Avengers: #InfinityWar” multi-screen edition from the Disney Store by August 13th, and r… https://t.co/dNGKEr8d1u"
1025599710457995264,2018-08-04 04:30:00,"Thanks for joining tonight's #VuduViewingParty with the @russo_brothers! Marvel Studios' ""Avengers: #InfinityWar"" i… https://t.co/8WuCO4op62"
1025596690252754944,2018-08-04 04:18:00,"Perhaps, but there is a cost to using the power of the Stones. - Russo Brothers #InfinityWar #VuduViewingParty https://t.co/6NeOVeYNth"
1025595935458553857,2018-08-04 04:15:00,"While the snap was always a dream of ours, we needed to really develop the movie before we knew we could achieve it… https://t.co/7MdMbbGKjZ"
1025593921966104576,2018-08-04 04:07:00,"""We knew that this was going to be critically important to the emotional core of the movie."" - Russo Brothers… https://t.co/YmaHsieTwU"
1025592395251863552,2018-08-04 04:00:56,The battle in Wakanda was so massive in scale and complexity; it was really challenging for the entire production t… https://t.co/RcEDEaT7da
1025592162690453506,2018-08-04 04:00:00,We go into our prop department and it's like a candy store--it's the greatest playground we've ever been to. We spe… https://t.co/pcF9ZgQNuO
1025589644157759488,2018-08-04 03:50:00,"Mjolnir requires worthiness, not Stormbreaker. - Russo Brothers #InfinityWar #VuduViewingParty https://t.co/PQJpepzN5j"
1025589140643971074,2018-08-04 03:48:00,I am Groot. - Russo Brothers #InfinityWar #VuduViewingParty https://t.co/osh2amhKaT
1025588385933602816,2018-08-04 03:45:00,"Thor knows Thanos is going after the Stones, and he knows that there are Stones on Earth, so that's what leads him… https://t.co/zHda2tK9Rj"
1025587730758033408,2018-08-04 03:42:24,Staging fight scenes with costumed Super Heroes in the heat of the Atlanta summer can have serious downsides. - Rus… https://t.co/oQv7FfB7Rx
1025587127164133376,2018-08-04 03:40:00,"The Soul Stone was the most mysterious, and so the most fun to spin a story around. - Russo Brothers #InfinityWar… https://t.co/A4Fv8Evb34"
1025585869372235776,2018-08-04 03:35:00,It's extremely difficult--there's a reason why spies have to train for years and years. - Russo Brothers… https://t.co/ABOlBwBdzi
1025584610883776513,2018-08-04 03:30:00,Howard the Duck. He should never die. - Russo Brothers #InfinityWar #VuduViewingParty https://t.co/aoQkFuYNth
1025583604305256448,2018-08-04 03:26:00,"Red Skull is free to leave Vormir, and he is also free to pursue his desire for an Infinity Stone. - Russo Brothers… https://t.co/9n7WZFUTIF"
1025583601671319552,2018-08-04 03:25:59,Thanos. We always thought of it as his movie. - Russo Brothers #InfinityWar #VuduViewingParty https://t.co/WnnAtNVPWc
1025583101043466243,2018-08-04 03:24:00,We've tried to make every one of our Marvel movies unique. - Russo Brothers #InfinityWar #VuduViewingParty https://t.co/yLghGEa0mm
1025579829234622464,2018-08-04 03:11:00,"""To be able to find what’s left when you take everything away from Thor—it’s a great journey for us as storytellers… https://t.co/jC6BCtaf3s"
1025578319612395520,2018-08-04 03:05:00,"We like to keep the essence of the characters and the concepts, but give audiences a completely new story. - Russo… https://t.co/lgSzA8NK4U"
1025575802925182977,2018-08-04 02:55:00,We like to be very experimental and try things a variety of ways before settling. - Russo Brothers #InfinityWar… https://t.co/ZQp7ksCzzm
1025574544856281088,2018-08-04 02:50:00,"Yes. Cap, Nat, and Falcon sided against the Accords and have been on the run. - Russo Brothers #InfinityWar… https://t.co/2MmNj01FUU"
1025573286472822784,2018-08-04 02:45:00,Spiderman--a childhood favorite. - Russo Brothers #InfinityWar #VuduViewingParty https://t.co/4NT7lGpuVh
1025572027959259136,2018-08-04 02:40:00,"The action continues. Keep submitting your questions about Marvel Studios' ""Avengers: #InfinityWar"" to the… https://t.co/sEhM2UUn4N"
1025571021103947776,2018-08-04 02:36:00,"There are few people as strong as or stronger than Thor, and you know who some of them are. - Russo Brothers… https://t.co/vdASVJX0GC"
